Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3878|3007379|240|2023-05-03|COVE235S5ELQ1|DDP| |0.00|0.00| | |31-0995787|BENTELER AUTOMOTIVE CORPORATION||||||2023-05-05 13:38:21|
3995|3006250|240||COVE235S1Z8Z5|FCA| |0.00|0.00| | |341862827|SUPPLY TECHNOLOGIES||||||2023-05-04 15:17:21|
1692|3000836|810|2023-04-12|COVE235SMN6O7|EXW|EUR|6385.42|5785.73|ESP| |ESF20025292|FAGOR EDERLAN, S. COOP.|TORREBASO PASEALEKUA|S/N|7|20540|ESKORIATZA|2023-05-19 09:31:01|
3694|3037491|750|2023-04-11|f21b8060-4fde-40bc-b2c1-823d7944d3db|DAP|USD|7585.80|7585.80|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3694|3037491|750|2023-04-12|d0074344-8b5e-48c0-acd3-cbcf8f4f9bd7|DAP|USD|5167.53|5167.53|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3579|3017344|240|2023-05-04|DD13BF63-2327-4800-8056-7AF8E610CF7A|FCA|USD|2888.64|2888.64|MEX| |22-3190143|BMW MANUFACTURING CO, LLC|FREEMAN FARM ROAD||1331|29651|GREER|2023-05-10 10:09:29|
1766|3001720|640|2023-05-20|COVE235TSBH23|EXW| |0.00|0.00| | |B16706053|INDUPRECI SL||||||2023-05-30 16:05:03|
3694|3037491|750|2023-04-03|eedf307d-50b0-4b4f-ab56-ad3e86bd8046|DAP|USD|11620.80|11620.80|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3682|3003933|240|2023-04-24|ed2a7a89-03ca-44ca-92d8-0f91380cebaf|FCA|USD|11919.60|11919.60|USA| |611462969|ZF NORTH AMERICA INC|CENTENNIAL DRIVE||15811|48168|NORTHVILLE|2023-05-05 11:50:24|
3622|3009200|430|2023-04-22|6812d8f6-4c13-4f2e-99de-9b2a4051e45e|FCA|USD|10869.00|10869.00|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN, BAYERN|2023-05-17 12:13:08|
