Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3622|3009633|430|2023-05-13|ce0ffb09-1924-485a-806c-dca94a7a5a62|FCA|USD|12627.00|12627.00|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN, BAYERN|2023-05-29 12:05:04|
3878|3007133|240|2023-05-17|1bc09daa-e87e-4cdf-818e-ff7f99ef087d|EXW|USD|63903.18|63903.18|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-25 18:25:11|
3878|3006823|240|2023-04-24|fdf3f4f7-03e2-453e-bf4c-f43d668c517f|EXW|USD|65902.10|65902.10|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-02 17:01:14|
3995|3007063|240||COVE235T6ZSY5|FCA| |0.00|0.00| | |341862827|SUPPLY TECHNOLOGIES||||||2023-05-22 16:17:02|
3682|3004509|240|2023-05-15|be4f942c-1aaf-42fb-8b40-7fbb4e97b47f|FCA|USD|3973.20|3973.20|USA| |611462969|ZF NORTH AMERICA INC|CENTENNIAL DRIVE||15811|48168|NORTHVILLE|2023-05-26 14:03:04|
3694|3037490|750|2023-04-13|6d0b1a70-519d-4d16-b21f-0336c35c83b3|FCA|USD|5366.72|5366.72|CHE| |CHE-367.148.844|DANA MANUFACTURING SWITZERLAND GMBH|RIEDSTRASSE|S/N|13|6330|CHAM|2023-05-11 15:04:00|
3878|3007042|240|2023-05-10|ba97f1f0-f2ac-425c-8ca4-826fddcd2eb4|EXW|USD|60756.30|60756.30|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-18 10:57:20|
1692|3000836|810|2023-04-12|COVE235SMN6G2|EXW|EUR|90694.25|82176.64|ESP| |ESF20025292|FAGOR EDERLAN, S. COOP.|TORREBASO PASEALEKUA|S/N|7|20540|ESKORIATZA|2023-05-19 09:31:01|
3699|3023678|430|2023-04-15|90cf4c7e-dcc2-4f31-97c1-1c6f8c3afdac|FCA|USD|3114.00|3114.00|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN|2023-05-11 13:02:01|
3694|3037491|750|2023-04-04|73e19002-ce68-4fe9-82e3-727bd768c0dc|DAP|USD|7747.20|7747.20|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3622|3009580|430|2023-05-13|f784828c-d281-4d36-bd63-5e8d29bf7291|FCA|USD|10459.20|10459.20|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN, BAYERN|2023-05-29 15:36:03|
1660|3004826|240|2023-05-24|d6545cb0-339f-41e0-b12e-e2747c9c4073|EXW|USD|63886.02|63886.02|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-30 11:37:14|
1692|3000915|810|2023-04-21|COVE235T8QMF3|FCA|EUR|47890.64|43392.96|ESP| |ESF20025292|FAGOR EDERLAN, S. COOP.|TORREBASO PASEALEKUA|S/N|7|20540|ESKORIATZA|2023-05-25 17:14:01|
3699|3023697|430|2023-04-15|f2105038-4d49-4d25-9b83-cbba94097ff2|FCA|USD|8282.40|8282.40|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN|2023-05-16 15:37:02|
3579|3018458|240|2023-05-23|COVE235TER1J7|FCA|USD|1002.96|1002.96|MEX| |22-3190143|BMW CONSOLIDATION SERVICES CO., LLC|FREEMAN FARM RD||1331|29651|GREER|2023-05-24 17:10:03|
3200|3003316|470|2023-04-21|COVE235S1ZP68|EXW|EUR|27029.63|24880.00|ESP| |B71087118|HIRUDEME, SL|C/ITURGAIZ||2|31195|BERRIOPLANO NAVARRA|2023-05-05 18:37:03|
3579|3018201|240|2023-05-16|9F65380C-470D-460A-8214-68E7C6763C56|FCA|USD|2005.92|2005.92|MEX| |320308060|BMW CONSOLIDATION SERVICES CO., LLC|PO BOX||11000|29304|SPARTANBURG|2023-05-18 16:44:03|
3579|3017344|240|2023-05-04|COVE235SE3AC4|FCA|USD|2888.64|2888.64|MEX| |22-3190143|BMW MANUFACTURING CO, LLC|FREEMAN FARM ROAD||1331|29651|GREER|2023-05-10 10:09:29|
3995|3006250|240||COVE235S1Z8N6|FCA| |0.00|0.00| | |341862827|SUPPLY TECHNOLOGIES||||||2023-05-04 15:17:21|
1634|3016441|240|2023-05-12|69c66d1a-4f11-45d1-8636-8493c18432bf|FCA|USD|21168.89|21168.89|USA| |261346857|DANA LIGHT AXLE PRODUCTS LLC|INDUSTRIAL ROAD SUITE|400|31572|48150|LIVONIA|2023-05-19 17:41:11|
3878|3006823|240|2023-04-21|461e9785-6062-4273-a91d-b95388e56367|EXW|USD|63377.60|63377.60|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-02 17:01:14|
3694|3037491|750|2023-04-24|972c0a61-536a-41f9-ae1a-dbdb41bf4755|DAP|USD|6892.80|6892.80|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3878|3007042|240|2023-05-11|a532db68-1137-43da-bf54-f06547cbba2c|EXW|USD|60862.78|60862.78|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-18 10:57:20|
3878|3007133|240|2023-05-13|406a25e6-c76a-405b-bd4e-d40c11fdf9b7|EXW|USD|27913.60|27913.60|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-25 18:25:11|
3622|3009633|430|2023-05-13|3a5a985f-c7e1-4e78-a1ab-f2fa3d641161|FCA|USD|1086.90|1086.90|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN, BAYERN|2023-05-29 12:05:04|
3878|3006927|240|2023-05-02|9a84c1d2-e95b-4d24-b451-e30e72c93d08|EXW|USD|57490.62|57490.62|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-12 12:17:19|
3995|3007518|240||COVE235TT3ZB6|FCA| |0.00|0.00| | |341862827|SUPPLY TECHNOLOGIES||||||2023-05-30 15:07:07|
1634|3014308|240|2023-04-21|2df34ae4-4e90-4aa9-af50-590182f6e808|FCA|USD|23255.81|23255.81|USA| |261346857|DANA LIGHT AXLE PRODUCTS LLC|INDUSTRIAL ROAD SUITE|400|31572|48150|LIVONIA|2023-05-02 11:47:10|
3694|3037491|750|2023-04-10|bc009d49-a768-4531-a500-43417d13fb0d|DAP|USD|10523.40|10523.40|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
1692|3000836|810|2023-04-11|COVE235SMN5Y3|EXW|EUR|76204.83|69048.00|ESP| |ESF20025292|FAGOR EDERLAN, S. COOP.|TORREBASO PASEALEKUA|S/N|7|20540|ESKORIATZA|2023-05-19 09:31:01|
3878|3007394|240|2023-05-08|COVE235SH2FT2|DDP| |0.00|0.00| | |31-0995787|BENTELER AUTOMOTIVE CORPORATION||||||2023-05-11 09:01:13|
1634|3015714|240|2023-05-05|77377053-48a8-4b8d-b048-ad321d884ff1|FCA|USD|26461.11|26461.11|USA| |261346857|DANA LIGHT AXLE PRODUCTS LLC|INDUSTRIAL ROAD SUITE|400|31572|48150|LIVONIA|2023-05-16 16:58:15|
3878|3006823|240|2023-04-19|d809fc87-56fc-4baf-bb2e-3af85e95b165|EXW|USD|60688.32|60688.32|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-02 17:01:14|
3995|3007063|240||COVE235T6ZT32|FCA| |0.00|0.00| | |341862827|SUPPLY TECHNOLOGIES||||||2023-05-22 16:17:02|
3694|3037492|750|2023-04-28|17aa038b-a62c-426d-a5c3-dd0204b3fe52|DAP|USD|133459.20|133459.20|MEX| |SAM150114MN6|SEOHAN AUTO MEXICO S DE RL DE CV|PROLONGACION RUIZ CORTINES|S/N|1500|67132|BELLO AMANECER RESIDENCIAL|2023-05-12 18:07:02|
3878|3007424|240|2023-05-20|COVE235T8TSF2|DDP| |0.00|0.00| | |31-0995787|BENTELER AUTOMOTIVE CORPORATION||||||2023-05-23 09:21:03|
3200|3003841|470|2023-05-25|ec7d662e-f7af-43c8-b039-428e1784d949|FCA|CNY|68.77|475.56|CHN| |91310000MA1FL73J0|RHENUS AUTOMOTIVE (SHANGHAI) HOLDING CO LTD|CAOYANG ROAD, LANE 1888|ROOM 201-G|11|200063|SHANGHAI PUTUO DISTRICT|2023-05-26 17:49:06|
3579|3017344|240|2023-05-04|02400A45-58D4-4573-BBF0-DDEA061AAC91|FCA|USD|2888.64|2888.64|MEX| |22-3190143|BMW MANUFACTURING CO, LLC|FREEMAN FARM ROAD||1331|29651|GREER|2023-05-10 10:09:29|
3878|3007133|240|2023-05-11|16b7e0c3-40d2-4bab-bcf6-0fc8567f8a07|EXW|USD|61037.24|61037.24|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-25 18:25:11|
3694|3037491|750|2023-04-01|b2dc9cfc-8957-4e4d-9bfb-3f0900bc86de|DAP|USD|1936.80|1936.80|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3878|3007251|240|2023-05-20|23864317-02d3-4bdb-95b4-9b9b5e62769c|EXW|USD|46282.72|46282.72|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-30 13:39:08|
3995|3006139|240||COVE235S1Z8N6|FCA| |0.00|0.00| | |341862827|SUPPLY TECHNOLOGIES||||||2023-05-04 11:27:14|
1660|3004826|240|2023-05-23|82f7be04-3941-4d02-a56b-b57b5fe76c6d|EXW|USD|60918.66|60918.66|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-30 11:37:14|
1634|3015714|240|2023-05-05|0aee0e4a-9ab5-4498-b583-ebabc683953d|FCA|USD|1181.30|1181.30|USA| |261346857|DANA LIGHT AXLE PRODUCTS LLC|INDUSTRIAL ROAD SUITE|400|31572|48150|LIVONIA|2023-05-16 16:58:15|
3694|3037489|750|2023-04-30|FACV1SER2304|FCA|USD|55941.50|55941.50|CHE| |CHE-112.299.409|EATON INDUSTRIES MANUFACTURING GMBH|ROUTE DE LA LONGERAIE|S/N|7|1110|MORGES|2023-05-11 13:08:02|
3878|3007133|240|2023-05-17|27c99baa-9678-4a96-9f48-c4dc0a032ba4|EXW|USD|60577.22|60577.22|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-25 18:25:11|
3878|3006927|240|2023-05-03|426871d4-9a0e-4160-91aa-865f625093f4|EXW|USD|63017.46|63017.46|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-12 12:17:19|
3878|3007042|240|2023-05-05|e2918cbc-662c-4a5a-97fa-d58b417fbd11|EXW|USD|63786.14|63786.14|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-18 10:57:20|
3878|3007250|240|2023-05-20|COVE235T5YBT1|FCA| |0.00|0.00| | |31-0995787|BENTELER AUTOMOTIVE||||||2023-05-21 10:48:02|
3694|3037491|750|2023-04-12|91317d16-2e79-4447-be21-9ab6f596529b|DAP|USD|2270.40|2270.40|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3694|3037491|750|2023-04-28|8f81e5e8-9acf-4916-a8c5-13d93775021f|DAP|USD|3873.60|3873.60|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3694|3037491|750|2023-04-22|6a4be326-e013-4f2e-97d5-1e2e0770350c|DAP|USD|2897.13|2897.13|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
1634|3015714|240|2023-05-02|353010ba-12a4-450c-aebb-ea7d9404b02d|FCA|USD|14112.59|14112.59|USA| |261346857|DANA LIGHT AXLE PRODUCTS LLC|INDUSTRIAL ROAD SUITE|400|31572|48150|LIVONIA|2023-05-16 16:58:15|
3426|3002128|480||COVE235SNHVK4|EXW| |0.00|0.00| | |S/N|SPRIMAG SPRITZMASCHINENBAU GMBH & CO KG||||||2023-05-15 09:56:13|
3878|3007042|240|2023-05-04|04ad4edd-a0b6-431a-bad9-81ac43706170|EXW|USD|59752.66|59752.66|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-18 10:57:20|
3878|3007133|240|2023-05-16|8bbd510d-dbc0-4cdc-97ef-6647187d7d60|EXW|USD|60918.66|60918.66|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-25 18:25:11|
3878|3006927|240|2023-05-03|325762f5-09ff-42f7-8852-f4260deb9242|EXW|USD|63017.46|63017.46|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-12 12:17:19|
3878|3006823|240|2023-04-22|41221d83-ed4a-4a96-ad3a-8ffb9dbb3a8a|EXW|USD|60005.44|60005.44|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-02 17:01:14|
3878|3007133|240|2023-05-19|e083acba-269e-4567-bf4e-3da2d34a53f4|EXW|USD|63352.96|63352.96|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-25 18:25:11|
3622|3009633|430|2023-05-13|52859b5b-79f9-494e-ae7c-f618cf12e1a4|FCA|USD|2539.20|2539.20|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN, BAYERN|2023-05-29 12:05:04|
3694|3037491|750|2023-04-03|02ee4327-20d4-472b-a462-b646cd566043|DAP|USD|10665.88|10665.88|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3579|3019395|240|2023-05-25|COVE235TQAEU1|FCA|USD|4959.36|4959.36|MEX| |320308060|BMW CONSOLIDATION SERVICES CO., LLC|PO BOX||11000|29304-4100|SPARTANBURG|2023-05-30 15:18:05|
3694|3037492|750|2023-04-28|f7865ed7-001c-438f-a484-69a948ce4fc5|DAP|USD|224464.18|224464.18|MEX| |SAM150114MN6|SEOHAN AUTO MEXICO S DE RL DE CV|PROLONGACION RUIZ CORTINES|S/N|1500|67132|BELLO AMANECER RESIDENCIAL|2023-05-12 18:07:02|
3694|3037491|750|2023-04-17|1dc96a17-b83f-47a5-97f7-f3ccdbd7da87|DAP|USD|19959.52|19959.52|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3622|3008606|430|2023-04-22|b10c87ba-4a23-427a-a059-3a9b260d321a|FCA|USD|6313.50|6313.50|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN, BAYERN|2023-05-11 13:11:04|
3995|3006823|240||COVE235SU5UH4|DAP| |0.00|0.00| | |22-2214372|BLUE BLADE  STEEL||||||2023-05-16 14:05:13|
3579|3017518|240|2023-05-09|FBBEED5A-1959-49CC-B80F-82B51B435924|FCA|USD|1002.96|1002.96|MEX| |320308060|BMW CONSOLIDATION SERVICES CO., LLC|PO BOX||11000|29304|SPARTANBURG|2023-05-13 12:31:10|
1692|3000957|810|2023-04-27|COVE235TN8XJ3|FCA|EUR|57468.77|52071.55|ESP| |ESF20025292|FAGOR EDERLAN, S. COOP.|TORREBASO PASEALEKUA|S/N|7|20540|ESKORIATZA|2023-05-31 12:51:01|
3699|3023696|430|2023-04-15|e61a3119-8ca2-4c88-a11b-00887b076d80|FCA|USD|8887.20|8887.20|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN|2023-05-16 15:25:01|
1660|3004826|240|2023-05-24|6c5da82d-2c3d-47f2-a425-1eb8f27e502c|EXW|USD|60972.64|60972.64|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-30 11:37:14|
3579|3017518|240|2023-05-09|40502C5E-A171-4BF8-B99A-5D44F54F5365|FCA|USD|1002.96|1002.96|MEX| |320308060|BMW CONSOLIDATION SERVICES CO., LLC|PO BOX||11000|29304|SPARTANBURG|2023-05-13 12:31:10|
3694|3037488|750|2023-04-30|FACV1IND2304|FCA|USD|479677.48|479677.48|CHE| |CHE-112.299.409|EATON INDUSTRIES MANUFACTURING GMBH|ROUTE DE LA LONGERAIE|S/N|7|1110|MORGES|2023-05-11 13:08:02|
1692|3000836|810|2023-04-12|COVE235SMN6A7|EXW|EUR|34374.55|31146.24|ESP| |ESF20025292|FAGOR EDERLAN, S. COOP.|TORREBASO PASEALEKUA|S/N|7|20540|ESKORIATZA|2023-05-19 09:31:01|
3694|3037491|750|2023-04-27|9fa29c68-9def-461c-90af-32dd4909c19c|DAP|USD|7747.20|7747.20|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3878|3007251|240|2023-05-22|7b5b89b7-c066-4af2-b9e1-4db222d43ee3|EXW|USD|60595.92|60595.92|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-30 13:39:08|
3579|3018458|240|2023-05-23|C6C15642-7E5E-4B4C-8752-428D81E8DE4A|FCA|USD|1002.96|1002.96|MEX| |22-3190143|BMW CONSOLIDATION SERVICES CO., LLC|FREEMAN FARM RD||1331|29651|GREER|2023-05-24 17:10:03|
3694|3037491|750|2023-04-24|abb3f8b0-e376-4cde-8e22-3bc451ef63c8|DAP|USD|968.40|968.40|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3579|3019395|240|2023-05-25|4B62D23F-FB61-4281-BA18-C92F51C1D26B|FCA|USD|4959.36|4959.36|MEX| |320308060|BMW CONSOLIDATION SERVICES CO., LLC|PO BOX||11000|29304-4100|SPARTANBURG|2023-05-30 15:18:05|
3694|3037491|750|2023-04-29|30bd85d0-52bc-4cfd-a102-69a63d1c300a|DAP|USD|5810.40|5810.40|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3694|3037490|750|2023-04-05|053bcd22-2ce9-4ddf-a929-8d630f424c7c|FCA|USD|5366.72|5366.72|CHE| |CHE-367.148.844|DANA MANUFACTURING SWITZERLAND GMBH|RIEDSTRASSE|S/N|13|6330|CHAM|2023-05-11 15:04:00|
3878|3007042|240|2023-05-08|f484e8a4-6e9d-4993-b483-3c2989297a2b|EXW|USD|44930.16|44930.16|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-18 10:57:20|
3694|3037491|750|2023-04-24|d953b925-49f8-4599-ad67-b8cdac74f5bb|DAP|USD|968.40|968.40|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3622|3009198|430|2023-04-22|b10c87ba-4a23-427a-a059-3a9b260d321a|FCA|USD|6313.50|6313.50|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN, BAYERN|2023-05-17 12:14:03|
1660|3004826|240|2023-05-24|fcb34cdf-ccc0-4147-82ff-75ff512c0efc|EXW|USD|64.60|64.60|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-30 11:37:14|
3579|3019395|240|2023-05-25|COVE235TQAEQ1|FCA|USD|2913.12|2913.12|MEX| |320308060|BMW CONSOLIDATION SERVICES CO., LLC|PO BOX||11000|29304-4100|SPARTANBURG|2023-05-30 15:18:05|
3878|3006927|240|2023-04-25|9338c9a5-b4e1-47a2-9c25-ddd00dea295e|EXW|USD|64058.94|64058.94|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-12 12:17:19|
1692|3000957|810|2023-04-27|COVE235TN8XF4|FCA|EUR|50803.22|46032.00|ESP| |ESF20025292|FAGOR EDERLAN, S. COOP.|TORREBASO PASEALEKUA|S/N|7|20540|ESKORIATZA|2023-05-31 12:51:01|
3622|3008608|430|2023-04-22|6812d8f6-4c13-4f2e-99de-9b2a4051e45e|FCA|USD|10869.00|10869.00|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN, BAYERN|2023-05-11 13:41:00|
3622|3009200|430|2023-04-22|b8e891ce-faf7-4e96-921a-141f06593eb9|FCA|USD|6337.50|6337.50|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN, BAYERN|2023-05-17 12:13:08|
3995|3006822|240||COVE235SU5V91|FCA| |0.00|0.00| | |22-2214372|BLUE BLADE  STEEL||||||2023-05-16 14:05:13|
3995|3006410|240||COVE235SD8A35|FCA| |0.00|0.00| | |20-2950398|METAL TECHNOLOGIES AUBURN LLC||||||2023-05-09 14:18:16|
3878|3007133|240|2023-05-18|00e4eaa6-06f3-4701-b725-9b45199adc53|EXW|USD|66051.92|66051.92|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-25 18:25:11|
1692|3000836|810|2023-04-11|COVE235SMN632|EXW|EUR|57468.77|52071.55|ESP| |ESF20025292|FAGOR EDERLAN, S. COOP.|TORREBASO PASEALEKUA|S/N|7|20540|ESKORIATZA|2023-05-19 09:31:01|
3694|3037491|750|2023-04-24|536f39b4-f07a-424f-8b26-9065ec5f6577|DAP|USD|1936.80|1936.80|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3878|3006823|240|2023-04-27|655dd963-badf-47f6-a78a-56d72fe99018|EXW|USD|62794.60|62794.60|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-02 17:01:14|
3878|3007249|240|2023-05-20|9ba4ab67-ff58-4a64-a996-d30589eecfed|EXW|USD|19186.20|19186.20|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-21 10:48:01|
3579|3018201|240|2023-05-16|0276737C-B0FA-4961-8820-4277BD69BA36|FCA|USD|2005.92|2005.92|MEX| |320308060|BMW CONSOLIDATION SERVICES CO., LLC|PO BOX||11000|29304|SPARTANBURG|2023-05-18 16:44:03|
3699|3023679|430|2023-04-15|5ecc0b32-5844-40b4-821d-09c2c9c65e25|FCA|USD|12627.00|12627.00|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN|2023-05-11 12:45:02|
3699|3023696|430|2023-04-15|5a033542-07f3-40f9-a517-e4cff1105d4c|FCA|USD|10459.20|10459.20|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN|2023-05-16 15:25:01|
3878|3007133|240|2023-05-13|af91575c-01cb-4166-bdd6-ef70f208e14f|EXW|USD|52735.54|52735.54|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-25 18:25:11|
1692|3000915|810|2023-04-21|COVE235T8QME1|FCA|EUR|88026.77|79759.68|ESP| |ESF20025292|FAGOR EDERLAN, S. COOP.|TORREBASO PASEALEKUA|S/N|7|20540|ESKORIATZA|2023-05-25 17:14:01|
